15-dic-2025;;;;;;;;;;;
iShares Core MSCI Europe UCITS ETF EUR (Acc);;;;;;;;;;;
Inception Date;25/09/2009;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;403,00;;;;;;;;;;
Shares Outstanding;146.910.991,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
ASML;ASML HOLDING NV;IT;Azionario;426.749.918,00;3,15;426.749.918,00;458.378,00;931,00;Paesi Bassi;Euronext Amsterdam;EUR
ROG;ROCHE HOLDING PAR AG;Salute;Azionario;285.134.381,60;2,10;285.134.381,60;828.471,00;344,17;Svizzera;SIX Swiss Exchange;CHF
AZN;ASTRAZENECA PLC;Salute;Azionario;283.836.178,70;2,10;283.836.178,70;1.831.129,00;155,01;Regno unito;London Stock Exchange;GBP
HSBA;HSBC HOLDINGS PLC;Finanziari;Azionario;260.402.438,33;1,92;260.402.438,33;20.330.257,00;12,81;Regno unito;London Stock Exchange;GBP
SAP;SAP;IT;Azionario;258.162.800,35;1,91;258.162.800,35;1.231.399,00;209,65;Germania;Xetra;EUR
NOVN;NOVARTIS AG;Salute;Azionario;257.066.139,82;1,90;257.066.139,82;2.242.006,00;114,66;Svizzera;SIX Swiss Exchange;CHF
NESN;NESTLE SA;Generi di largo consumo;Azionario;256.480.182,20;1,89;256.480.182,20;3.038.438,00;84,41;Svizzera;SIX Swiss Exchange;CHF
SIE;SIEMENS N AG;Industriali;Azionario;214.339.861,55;1,58;214.339.861,55;896.257,00;239,15;Germania;Xetra;EUR
SHEL;SHELL PLC;Energia;Azionario;210.214.588,49;1,55;210.214.588,49;6.840.905,00;30,73;Regno unito;London Stock Exchange;GBP
MC;LVMH;Consumi Discrezionali;Azionario;184.631.881,20;1,36;184.631.881,20;294.892,00;626,10;Francia;Nyse Euronext - Euronext Paris;EUR
ALV;ALLIANZ;Finanziari;Azionario;174.547.920,60;1,29;174.547.920,60;455.382,00;383,30;Germania;Xetra;EUR
SAN;BANCO SANTANDER SA;Finanziari;Azionario;173.326.981,81;1,28;173.326.981,81;17.555.655,00;9,87;Spagna;Bolsa De Madrid;EUR
NOVO B;NOVO NORDISK CLASS B;Salute;Azionario;160.872.294,48;1,19;160.872.294,48;3.798.306,00;42,35;Danimarca;Omx Nordic Exchange Copenhagen A/S;DKK
SU;SCHNEIDER ELECTRIC;Industriali;Azionario;156.927.878,40;1,16;156.927.878,40;646.592,00;242,70;Francia;Nyse Euronext - Euronext Paris;EUR
ULVR;UNILEVER PLC;Generi di largo consumo;Azionario;141.811.702,59;1,05;141.811.702,59;2.570.345,00;55,17;Regno unito;London Stock Exchange;GBP
AIR;AIRBUS GROUP;Industriali;Azionario;137.632.113,00;1,02;137.632.113,00;701.775,00;196,12;Francia;Nyse Euronext - Euronext Paris;EUR
IBE;IBERDROLA SA;Imprese di servizi di pubblica utilità;Azionario;137.053.310,75;1,01;137.053.310,75;7.567.825,00;18,11;Spagna;Bolsa De Madrid;EUR
UBSG;UBS GROUP AG;Finanziari;Azionario;136.747.643,09;1,01;136.747.643,09;3.744.128,00;36,52;Svizzera;SIX Swiss Exchange;CHF
BBVA;BANCO BILBAO VIZCAYA ARGENTARIA SA;Finanziari;Azionario;132.961.975,32;0,98;132.961.975,32;6.797.647,00;19,56;Spagna;Bolsa De Madrid;EUR
TTE;TOTALENERGIES;Energia;Azionario;130.189.069,50;0,96;130.189.069,50;2.345.749,00;55,50;Francia;Nyse Euronext - Euronext Paris;EUR
RR.;ROLLS-ROYCE HOLDINGS PLC;Industriali;Azionario;126.305.191,52;0,93;126.305.191,52;9.956.556,00;12,69;Regno unito;London Stock Exchange;GBP
BATS;BRITISH AMERICAN TOBACCO;Generi di largo consumo;Azionario;126.288.969,86;0,93;126.288.969,86;2.580.912,00;48,93;Regno unito;London Stock Exchange;GBP
SAF;SAFRAN SA;Industriali;Azionario;124.432.412,00;0,92;124.432.412,00;424.684,00;293,00;Francia;Nyse Euronext - Euronext Paris;EUR
ABBN;ABB LTD;Industriali;Azionario;117.276.331,37;0,87;117.276.331,37;1.861.011,00;63,02;Svizzera;SIX Swiss Exchange;CHF
DTE;DEUTSCHE TELEKOM N AG;Comunicazione;Azionario;115.356.852,80;0,85;115.356.852,80;4.343.255,00;26,56;Germania;Xetra;EUR
UCG;UNICREDIT;Finanziari;Azionario;113.920.968,33;0,84;113.920.968,33;1.650.311,00;69,03;Italia;Borsa Italiana;EUR
CFR;COMPAGNIE FINANCIERE RICHEMONT SA;Consumi Discrezionali;Azionario;113.788.097,89;0,84;113.788.097,89;634.051,00;179,46;Svizzera;SIX Swiss Exchange;CHF
ENR;SIEMENS ENERGY N AG;Industriali;Azionario;109.560.095,00;0,81;109.560.095,00;914.525,00;119,80;Germania;Xetra;EUR
AI;LAIR LIQUIDE SOCIETE ANONYME POUR;Materiali;Azionario;109.146.017,64;0,81;109.146.017,64;683.958,00;159,58;Francia;Nyse Euronext - Euronext Paris;EUR
ZURN;ZURICH INSURANCE GROUP AG;Finanziari;Azionario;108.470.540,38;0,80;108.470.540,38;171.836,00;631,24;Svizzera;SIX Swiss Exchange;CHF
OR;LOREAL SA;Generi di largo consumo;Azionario;105.882.064,80;0,78;105.882.064,80;283.714,00;373,20;Francia;Nyse Euronext - Euronext Paris;EUR
SAN;SANOFI SA;Salute;Azionario;105.270.451,00;0,78;105.270.451,00;1.306.085,00;80,60;Francia;Nyse Euronext - Euronext Paris;EUR
GSK;GLAXOSMITHKLINE;Salute;Azionario;100.626.357,32;0,74;100.626.357,32;4.819.522,00;20,88;Regno unito;London Stock Exchange;GBP
EL;ESSILORLUXOTTICA SA;Salute;Azionario;100.296.257,50;0,74;100.296.257,50;355.031,00;282,50;Francia;Nyse Euronext - Euronext Paris;EUR
ISP;INTESA SANPAOLO;Finanziari;Azionario;97.258.864,44;0,72;97.258.864,44;16.800.633,00;5,79;Italia;Borsa Italiana;EUR
BNP;BNP PARIBAS SA;Finanziari;Azionario;94.787.739,48;0,70;94.787.739,48;1.198.631,00;79,08;Francia;Nyse Euronext - Euronext Paris;EUR
BP.;BP PLC;Energia;Azionario;92.844.749,32;0,69;92.844.749,32;18.638.118,00;4,98;Regno unito;London Stock Exchange;GBP
SPOT;SPOTIFY TECHNOLOGY SA;Comunicazione;Azionario;90.589.365,87;0,67;90.589.365,87;184.624,00;490,67;Svezia;New York Stock Exchange Inc.;USD
MUV2;MUENCHENER RUECKVERSICHERUNGS-GESE;Finanziari;Azionario;85.626.548,00;0,63;85.626.548,00;154.060,00;555,80;Germania;Xetra;EUR
BARC;BARCLAYS PLC;Finanziari;Azionario;85.309.469,04;0,63;85.309.469,04;16.492.080,00;5,17;Regno unito;London Stock Exchange;GBP
RHM;RHEINMETALL AG;Industriali;Azionario;85.176.702,00;0,63;85.176.702,00;54.132,00;1.573,50;Germania;Xetra;EUR
ENEL;ENEL;Imprese di servizi di pubblica utilità;Azionario;85.151.120,74;0,63;85.151.120,74;9.606.399,00;8,86;Italia;Borsa Italiana;EUR
RIO;RIO TINTO PLC;Materiali;Azionario;84.929.681,98;0,63;84.929.681,98;1.324.250,00;64,13;Regno unito;London Stock Exchange;GBP
CS;AXA SA;Finanziari;Azionario;84.787.110,24;0,63;84.787.110,24;2.081.176,00;40,74;Francia;Nyse Euronext - Euronext Paris;EUR
INGA;ING GROEP NV;Finanziari;Azionario;83.138.557,05;0,61;83.138.557,05;3.564.354,00;23,32;Paesi Bassi;Euronext Amsterdam;EUR
PRX;PROSUS NV CLASS N;Consumi Discrezionali;Azionario;81.646.918,00;0,60;81.646.918,00;1.543.420,00;52,90;Paesi Bassi;Euronext Amsterdam;EUR
RMS;HERMES INTERNATIONAL;Consumi Discrezionali;Azionario;80.222.256,00;0,59;80.222.256,00;37.278,00;2.152,00;Francia;Nyse Euronext - Euronext Paris;EUR
REL;RELX PLC;Industriali;Azionario;75.622.965,04;0,56;75.622.965,04;2.158.238,00;35,04;Regno unito;London Stock Exchange;GBP
NG.;NATIONAL GRID PLC;Imprese di servizi di pubblica utilità;Azionario;75.124.726,31;0,55;75.124.726,31;5.858.921,00;12,82;Regno unito;London Stock Exchange;GBP
LLOY;LLOYDS BANKING GROUP PLC;Finanziari;Azionario;73.257.468,66;0,54;73.257.468,66;67.617.933,00;1,08;Regno unito;London Stock Exchange;GBP
ITX;INDUSTRIA DE DISENO TEXTIL SA;Consumi Discrezionali;Azionario;70.771.482,60;0,52;70.771.482,60;1.296.181,00;54,60;Spagna;Bolsa De Madrid;EUR
DBK;DEUTSCHE BANK AG;Finanziari;Azionario;70.347.104,80;0,52;70.347.104,80;2.191.840,00;32,09;Germania;Xetra;EUR
DG;VINCI SA;Industriali;Azionario;70.168.320,90;0,52;70.168.320,90;584.006,00;120,15;Francia;Nyse Euronext - Euronext Paris;EUR
BA.;BAE SYSTEMS PLC;Industriali;Azionario;68.239.573,39;0,50;68.239.573,39;3.538.541,00;19,28;Regno unito;London Stock Exchange;GBP
NWG;NATWEST GROUP PLC;Finanziari;Azionario;68.053.270,99;0,50;68.053.270,99;9.482.956,00;7,18;Regno unito;London Stock Exchange;GBP
ABI;ANHEUSER-BUSCH INBEV SA;Generi di largo consumo;Azionario;64.121.029,78;0,47;64.121.029,78;1.166.261,00;54,98;Belgio;Nyse Euronext - Euronext Brussels;EUR
INVE B;INVESTOR CLASS B;Finanziari;Azionario;63.667.682,35;0,47;63.667.682,35;2.151.068,00;29,60;Svezia;Nasdaq Omx Nordic;SEK
BN;DANONE SA;Generi di largo consumo;Azionario;58.984.058,16;0,44;58.984.058,16;765.629,00;77,04;Francia;Nyse Euronext - Euronext Paris;EUR
NDA FI;NORDEA BANK;Finanziari;Azionario;57.168.370,14;0,42;57.168.370,14;3.707.417,00;15,42;Finlandia;Nasdaq Omx Helsinki Ltd.;EUR
IFX;INFINEON TECHNOLOGIES AG;IT;Azionario;55.431.399,74;0,41;55.431.399,74;1.545.988,00;35,85;Germania;Xetra;EUR
LSEG;LONDON STOCK EXCHANGE GROUP PLC;Finanziari;Azionario;55.163.315,29;0,41;55.163.315,29;561.974,00;98,16;Regno unito;London Stock Exchange;GBP
RKT;RECKITT BENCKISER GROUP PLC;Generi di largo consumo;Azionario;54.416.739,00;0,40;54.416.739,00;799.641,00;68,05;Regno unito;London Stock Exchange;GBP
GLE;SOCIETE GENERALE SA;Finanziari;Azionario;54.391.942,22;0,40;54.391.942,22;845.383,00;64,34;Francia;Nyse Euronext - Euronext Paris;EUR
DHL;DEUTSCHE POST AG;Industriali;Azionario;53.010.626,10;0,39;53.010.626,10;1.125.491,00;47,10;Germania;Xetra;EUR
CPG;COMPASS GROUP PLC;Consumi Discrezionali;Azionario;52.759.687,55;0,39;52.759.687,55;1.979.974,00;26,65;Regno unito;London Stock Exchange;GBP
GLEN;GLENCORE PLC;Materiali;Azionario;52.166.622,85;0,39;52.166.622,85;12.030.091,00;4,34;Regno unito;London Stock Exchange;GBP
ARGX;ARGENX;Salute;Azionario;51.963.163,20;0,38;51.963.163,20;71.812,00;723,60;Belgio;Nyse Euronext - Euronext Brussels;EUR
MBG;MERCEDES-BENZ GROUP N AG;Consumi Discrezionali;Azionario;51.534.444,00;0,38;51.534.444,00;845.520,00;60,95;Germania;Xetra;EUR
DSV;DSV;Industriali;Azionario;50.531.175,02;0,37;50.531.175,02;240.439,00;210,16;Danimarca;Omx Nordic Exchange Copenhagen A/S;DKK
VOLV B;VOLVO CLASS B;Industriali;Azionario;50.313.949,25;0,37;50.313.949,25;1.859.986,00;27,05;Svezia;Nasdaq Omx Nordic;SEK
DGE;DIAGEO PLC;Generi di largo consumo;Azionario;49.639.266,14;0,37;49.639.266,14;2.622.025,00;18,93;Regno unito;London Stock Exchange;GBP
HOLN;HOLCIM LTD AG;Materiali;Azionario;49.369.868,44;0,36;49.369.868,44;607.891,00;81,21;Svizzera;SIX Swiss Exchange;CHF
SREN;SWISS RE AG;Finanziari;Azionario;49.341.477,29;0,36;49.341.477,29;353.225,00;139,69;Svizzera;SIX Swiss Exchange;CHF
ATCO A;ATLAS COPCO CLASS A;Industriali;Azionario;48.138.834,93;0,36;48.138.834,93;3.167.508,00;15,20;Svezia;Nasdaq Omx Nordic;SEK
DB1;DEUTSCHE BOERSE AG;Finanziari;Azionario;47.999.034,80;0,35;47.999.034,80;221.807,00;216,40;Germania;Xetra;EUR
LONN;LONZA GROUP AG;Salute;Azionario;47.383.043,76;0,35;47.383.043,76;84.704,00;559,39;Svizzera;SIX Swiss Exchange;CHF
CABK;CAIXABANK SA;Finanziari;Azionario;47.230.618,50;0,35;47.230.618,50;4.662.450,00;10,13;Spagna;Bolsa De Madrid;EUR
RACE;FERRARI NV;Consumi Discrezionali;Azionario;46.604.508,00;0,34;46.604.508,00;148.422,00;314,00;Italia;Borsa Italiana;EUR
ENGI;ENGIE SA;Imprese di servizi di pubblica utilità;Azionario;46.344.421,50;0,34;46.344.421,50;2.130.778,00;21,75;Francia;Nyse Euronext - Euronext Paris;EUR
BAS;BASF N;Materiali;Azionario;46.227.134,25;0,34;46.227.134,25;1.044.681,00;44,25;Germania;Xetra;EUR
SGO;COMPAGNIE DE SAINT GOBAIN SA;Industriali;Azionario;46.124.938,80;0,34;46.124.938,80;526.180,00;87,66;Francia;Nyse Euronext - Euronext Paris;EUR
STAN;STANDARD CHARTERED PLC;Finanziari;Azionario;46.095.120,02;0,34;46.095.120,02;2.299.281,00;20,05;Regno unito;London Stock Exchange;GBP
HLN;HALEON PLC;Salute;Azionario;44.743.314,50;0,33;44.743.314,50;10.651.055,00;4,20;Regno unito;London Stock Exchange;GBP
AAL;ANGLO AMERICAN PLC;Materiali;Azionario;42.828.994,25;0,32;42.828.994,25;1.318.747,00;32,48;Regno unito;London Stock Exchange;GBP
BAYN;BAYER AG;Salute;Azionario;41.537.484,00;0,31;41.537.484,00;1.153.819,00;36,00;Germania;Xetra;EUR
EXPN;EXPERIAN PLC;Industriali;Azionario;41.478.481,06;0,31;41.478.481,06;1.076.380,00;38,54;Regno unito;London Stock Exchange;GBP
III;3I GROUP PLC;Finanziari;Azionario;40.930.799,40;0,30;40.930.799,40;1.139.263,00;35,93;Regno unito;London Stock Exchange;GBP
EOAN;E.ON N;Imprese di servizi di pubblica utilità;Azionario;40.599.188,13;0,30;40.599.188,13;2.644.037,00;15,36;Germania;Xetra;EUR
ADYEN;ADYEN NV;Finanziari;Azionario;39.758.264,00;0,29;39.758.264,00;29.407,00;1.352,00;Paesi Bassi;Euronext Amsterdam;EUR
ALC;ALCON AG;Salute;Azionario;39.506.981,13;0,29;39.506.981,13;584.293,00;67,61;Svizzera;SIX Swiss Exchange;CHF
LR;LEGRAND SA;Industriali;Azionario;38.891.195,80;0,29;38.891.195,80;309.151,00;125,80;Francia;Nyse Euronext - Euronext Paris;EUR
TSCO;TESCO PLC;Generi di largo consumo;Azionario;38.392.709,70;0,28;38.392.709,70;7.679.932,00;5,00;Regno unito;London Stock Exchange;GBP
ASSA B;ASSA ABLOY B;Industriali;Azionario;38.381.141,46;0,28;38.381.141,46;1.166.705,00;32,90;Svezia;Nasdaq Omx Nordic;SEK
ENI;ENI;Energia;Azionario;38.331.111,56;0,28;38.331.111,56;2.414.102,00;15,88;Italia;Borsa Italiana;EUR
PRU;PRUDENTIAL PLC;Finanziari;Azionario;38.148.414,96;0,28;38.148.414,96;3.027.598,00;12,60;Regno unito;London Stock Exchange;GBP
AD;KONINKLIJKE AHOLD DELHAIZE NV;Generi di largo consumo;Azionario;37.404.275,10;0,28;37.404.275,10;1.077.933,00;34,70;Paesi Bassi;Euronext Amsterdam;EUR
GIVN;GIVAUDAN SA;Materiali;Azionario;36.173.283,53;0,27;36.173.283,53;10.823,00;3.342,24;Svizzera;SIX Swiss Exchange;CHF
HEI;HEIDELBERG MATERIALS AG;Materiali;Azionario;35.646.088,40;0,26;35.646.088,40;159.419,00;223,60;Germania;Xetra;EUR
UCB;UCB SA;Salute;Azionario;35.509.281,60;0,26;35.509.281,60;149.136,00;238,10;Belgio;Nyse Euronext - Euronext Brussels;EUR
G;ASSICURAZIONI GENERALI;Finanziari;Azionario;34.759.366,28;0,26;34.759.366,28;1.011.623,00;34,36;Italia;Borsa Italiana;EUR
SSE;SSE PLC;Imprese di servizi di pubblica utilità;Azionario;34.629.141,32;0,26;34.629.141,32;1.423.684,00;24,32;Regno unito;London Stock Exchange;GBP
EBS;ERSTE GROUP BANK AG;Finanziari;Azionario;34.600.944,00;0,26;34.600.944,00;356.160,00;97,15;Austria;Wiener Boerse Ag;EUR
EUR;EUR CASH;Liquidità e/o derivati;Contanti;34.453.515,27;0,25;34.453.515,27;34.453.515,00;100,00;Unione Europea;--;EUR
FER;FERROVIAL;Industriali;Azionario;34.428.326,40;0,25;34.428.326,40;597.714,00;57,60;Spagna;Bolsa De Madrid;EUR
SAND;SANDVIK;Industriali;Azionario;34.130.629,09;0,25;34.130.629,09;1.272.939,00;26,81;Svezia;Nasdaq Omx Nordic;SEK
IMB;IMPERIAL BRANDS PLC;Generi di largo consumo;Azionario;33.605.020,41;0,25;33.605.020,41;917.902,00;36,61;Regno unito;London Stock Exchange;GBP
ADS;ADIDAS N AG;Consumi Discrezionali;Azionario;33.300.706,25;0,25;33.300.706,25;200.305,00;166,25;Germania;Xetra;EUR
DANSKE;DANSKE BANK;Finanziari;Azionario;33.080.455,90;0,24;33.080.455,90;806.807,00;41,00;Danimarca;Omx Nordic Exchange Copenhagen A/S;DKK
NOKIA;NOKIA;IT;Azionario;32.880.731,34;0,24;32.880.731,34;6.229.771,00;5,28;Finlandia;Nasdaq Omx Helsinki Ltd.;EUR
RWE;RWE AG;Imprese di servizi di pubblica utilità;Azionario;32.753.047,23;0,24;32.753.047,23;748.299,00;43,77;Germania;Xetra;EUR
AMS;AMADEUS IT GROUP SA;Consumi Discrezionali;Azionario;32.750.579,08;0,24;32.750.579,08;526.706,00;62,18;Spagna;Bolsa De Madrid;EUR
GALD;GALDERMA GROUP N AG;Salute;Azionario;32.510.855,72;0,24;32.510.855,72;182.407,00;178,23;Svizzera;SIX Swiss Exchange;CHF
BMW;BMW AG;Consumi Discrezionali;Azionario;32.361.771,08;0,24;32.361.771,08;340.006,00;95,18;Germania;Xetra;EUR
SLHN;SWISS LIFE HOLDING AG;Finanziari;Azionario;31.772.012,08;0,23;31.772.012,08;33.389,00;951,57;Svizzera;SIX Swiss Exchange;CHF
SIKA;SIKA AG;Materiali;Azionario;31.357.729,99;0,23;31.357.729,99;180.429,00;173,79;Svizzera;SIX Swiss Exchange;CHF
SEB A;SKANDINAVISKA ENSKILDA BANKEN;Finanziari;Azionario;31.199.945,99;0,23;31.199.945,99;1.787.296,00;17,46;Svezia;Nasdaq Omx Nordic;SEK
CBK;COMMERZBANK AG;Finanziari;Azionario;30.467.076,12;0,22;30.467.076,12;866.034,00;35,18;Germania;Xetra;EUR
ORA;ORANGE SA;Comunicazione;Azionario;30.360.884,40;0,22;30.360.884,40;2.190.540,00;13,86;Francia;Nyse Euronext - Euronext Paris;EUR
KBC;KBC GROEP;Finanziari;Azionario;30.030.133,65;0,22;30.030.133,65;271.643,00;110,55;Belgio;Nyse Euronext - Euronext Brussels;EUR
RYA;RYANAIR HOLDINGS PLC;Industriali;Azionario;29.966.267,52;0,22;29.966.267,52;1.012.032,00;29,61;Irlanda;Irish Stock Exchange - All Market;EUR
SDZ;SANDOZ GROUP AG;Salute;Azionario;29.856.094,18;0,22;29.856.094,18;483.956,00;61,69;Svizzera;SIX Swiss Exchange;CHF
AHT;ASHTEAD GROUP PLC;Industriali;Azionario;29.702.881,79;0,22;29.702.881,79;500.842,00;59,31;Regno unito;London Stock Exchange;GBP
SAMPO;SAMPO CLASS A;Finanziari;Azionario;28.897.271,42;0,21;28.897.271,42;2.888.283,00;10,01;Finlandia;Nasdaq Omx Helsinki Ltd.;EUR
SWED A;SWEDBANK;Finanziari;Azionario;28.731.401,88;0,21;28.731.401,88;1.009.469,00;28,46;Svezia;Nasdaq Omx Nordic;SEK
ASM;ASM INTERNATIONAL NV;IT;Azionario;28.521.445,20;0,21;28.521.445,20;55.317,00;515,60;Paesi Bassi;Euronext Amsterdam;EUR
CAP;CAPGEMINI;IT;Azionario;28.337.164,20;0,21;28.337.164,20;190.566,00;148,70;Francia;Nyse Euronext - Euronext Paris;EUR
PRY;PRYSMIAN;Industriali;Azionario;28.122.448,76;0,21;28.122.448,76;334.234,00;84,14;Italia;Borsa Italiana;EUR
UMG;UNIVERSAL MUSIC GROUP NV;Comunicazione;Azionario;27.939.347,50;0,21;27.939.347,50;1.285.750,00;21,73;Paesi Bassi;Euronext Amsterdam;EUR
VWS;VESTAS WIND SYSTEMS;Industriali;Azionario;27.402.841,24;0,20;27.402.841,24;1.193.649,00;22,96;Danimarca;Omx Nordic Exchange Copenhagen A/S;DKK
ERIC B;ERICSSON B;IT;Azionario;27.369.850,60;0,20;27.369.850,60;3.343.962,00;8,18;Svezia;Nasdaq Omx Nordic;SEK
PGHN;PARTNERS GROUP HOLDING AG;Finanziari;Azionario;27.208.806,31;0,20;27.208.806,31;26.448,00;1.028,76;Svizzera;SIX Swiss Exchange;CHF
AV.;AVIVA PLC;Finanziari;Azionario;27.006.754,48;0,20;27.006.754,48;3.558.857,00;7,59;Regno unito;London Stock Exchange;GBP
KER;KERING SA;Consumi Discrezionali;Azionario;26.502.822,30;0,20;26.502.822,30;87.166,00;304,05;Francia;Nyse Euronext - Euronext Paris;EUR
VOW3;VOLKSWAGEN NON-VOTING PREF AG;Consumi Discrezionali;Azionario;26.417.070,60;0,20;26.417.070,60;245.969,00;107,40;Germania;Xetra;EUR
GEBN;GEBERIT AG;Industriali;Azionario;26.023.808,02;0,19;26.023.808,02;39.296,00;662,25;Svizzera;SIX Swiss Exchange;CHF
